table_name,column_name,data_type,nullable,primary_key,max,min,avg,stddev,varience
TB_LIS_JYBG,BGDH,1,0,0,12.0,12.0,12.0,0.0,0.0
TB_LIS_JYBG,BGRQ,1,0,0,8.0,8.0,8.0,0.0,0.0
TB_LIS_JYBG,BRXM,1,0,0,25.0,3.0,5.8,0.74,0.55
TB_LIS_JYBG,BRXB,1,0,0,1.0,1.0,1.0,0.0,0.0
TB_LIS_JYBG,BRNL,1,0,0,6.0,3.0,3.91,0.29,0.08
TB_LIS_JYBG,BQ,1,1,0,19.0,4.0,9.08,3.2,10.24
TB_LIS_JYBG,CH,1,1,0,5.0,1.0,1.94,0.55,0.3
TB_LIS_JYBG,SQRGH,1,0,0,5.0,4.0,4.0,0.02,0.0
TB_LIS_JYBG,SQRXM,1,0,0,6.0,4.0,5.68,0.73,0.53
TB_LIS_JYBG,BGRGH,1,0,0,5.0,4.0,4.0,0.02,0.0
TB_LIS_JYBG,BGRXM,1,0,0,6.0,4.0,5.68,0.73,0.53
TB_LIS_JYBG,SQKSMC,1,0,0,19.0,4.0,9.33,3.44,11.87
TB_LIS_JYBG,SQRQ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_LIS_JYBG,CJRQ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_LIS_JYBG,JYRQ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_LIS_JYBG,JYJSBH,1,0,0,4.0,4.0,4.0,0.0,0.0
TB_LIS_JYBG,JYJSQM,1,0,0,8.0,4.0,5.86,0.96,0.92
TB_LIS_JYBG,JYYSBH,1,0,0,4.0,4.0,4.0,0.0,0.0
TB_LIS_JYBG,JYYSQM,1,0,0,8.0,4.0,5.86,0.96,0.92
TB_LIS_JYBG,BBDM,1,0,0,4.0,4.0,4.0,0.0,0.0
TB_LIS_JYBG,BBMC,1,0,0,10.0,4.0,4.04,0.45,0.2
TB_LIS_JYJGZB,BGRQ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_LIS_JYJGZB,JCRXM,1,0,0,8.0,4.0,5.99,0.99,0.98
TB_LIS_JYJGZB,JCZBDM,1,0,0,19.0,1.0,3.7,1.45,2.09
TB_LIS_JYJGZB,JCZBMC,1,0,0,44.0,1.0,10.98,4.42,19.53
TB_LIS_JYJGZB,JYDLJGJSDW,1,0,0,11.0,1.0,3.36,2.11,4.45
TB_LIS_JYJGZB,CKZ,1,0,0,240.0,1.0,7.68,10.77,115.98
TB_LIS_JYJGZB,JLDW,1,1,0,11.0,1.0,3.36,2.11,4.45
TB_LIS_JYJGZB,SBBM,1,0,0,8.0,2.0,5.43,1.11,1.24
TB_LIS_YMJG,BGDH,1,0,0,12.0,12.0,12.0,0.0,0.0
TB_LIS_YMJG,XJDH,1,0,0,4.0,3.0,3.96,0.19,0.03
TB_LIS_YMJG,YMDM,1,0,0,6.0,3.0,3.01,0.15,0.02
TB_LIS_YMJG,YMMC,1,0,0,18.0,1.0,9.14,2.96,8.78
TB_LIS_YMJG,JCJG,1,0,0,4.0,1.0,3.87,0.61,0.37
TB_MZ_CFMX,CFH,1,0,0,8.0,8.0,8.0,0.0,0.0
TB_MZ_CFMX,JZLSH,1,0,0,7.0,7.0,7.0,0.0,0.0
TB_MZ_CFMX,KH,1,0,0,29.0,21.0,28.77,1.35,1.82
TB_MZ_CFMX,KLX,1,0,0,2.0,2.0,2.0,0.0,0.0
TB_MZ_CFZB,CFH,1,0,0,8.0,8.0,8.0,0.0,0.0
TB_MZ_CFZB,JZLSH,1,0,0,7.0,7.0,7.0,0.0,0.0
TB_MZ_CFZB,KH,1,0,0,29.0,21.0,28.86,1.06,1.13
TB_MZ_CFZB,KLX,1,0,0,2.0,2.0,2.0,0.0,0.0
TB_MZ_CFZB,CFLX,1,0,0,2.0,2.0,2.0,0.0,0.0
TB_MZ_CFZB,JZKSDM,1,0,0,6.0,1.0,4.12,0.97,0.94
TB_MZ_CFZB,JZKSMC,1,0,0,19.0,1.0,11.11,4.3,18.48
TB_MZ_CFZB,KFYSGH,1,0,0,6.0,1.0,3.87,0.63,0.4
TB_MZ_CFZB,KFYSXM,1,0,0,8.0,1.0,5.46,1.22,1.48
TB_MZ_CFZB,KFRQ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_MZ_CFZB,HZXM,1,0,0,25.0,2.0,5.73,0.73,0.53
TB_MZ_CFZB,HZXB,1,0,0,2.0,2.0,2.0,0.0,0.0
TB_MZ_CFZB,FB,1,0,0,8.0,4.0,5.37,1.9,3.6
TB_MZ_CFZB,CFJE,2,0,0,14318.85,0.0,84.54,146.17,21364.27
TB_MZ_CFZB,ZXKSBM,1,0,0,6.0,2.0,2.67,0.92,0.85
TB_MZ_CFZB,ZXKSMC,1,0,0,19.0,4.0,8.97,2.4,5.78
TB_MZ_GHMXB,JZLSH,1,0,0,7.0,7.0,7.0,0.0,0.0
TB_MZ_GHMXB,KH,1,0,0,29.0,21.0,28.94,0.71,0.51
TB_MZ_GHMXB,KLX,1,0,0,2.0,2.0,2.0,0.0,0.0
TB_MZ_GHMXB,GTHSJ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_MZ_GHMXB,GHLB,1,0,0,3.0,3.0,3.0,0.0,0.0
TB_MZ_GHMXB,SFJZ,1,0,0,1.0,1.0,1.0,0.0,0.0
TB_MZ_GHMXB,XM,1,0,0,25.0,2.0,5.71,0.75,0.56
TB_MZ_GHMXB,XB,1,0,0,1.0,1.0,1.0,0.0,0.0
TB_MZ_GHMXB,CSRQ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_MZ_GHMXB,KSBM,1,0,0,6.0,1.0,4.25,0.66,0.43
TB_MZ_GHMXB,KSMC,1,0,0,19.0,1.0,11.19,3.4,11.53
TB_MZ_GHMXB,GHYSGH,1,0,0,6.0,1.0,3.38,1.22,1.48
TB_MZ_GHMXB,GHYSXM,1,0,0,8.0,1.0,4.7,2.0,4.0
TB_MZ_GHMXB,GHF,2,0,0,26.0,0.0,4.8,3.09,9.55
TB_MZ_GHMXB,ZLF,2,0,0,0.0,0.0,0.0,0.0,0.0
TB_MZ_GHMXB,GHSXH,1,1,0,1.0,1.0,1.0,0.0,0.0
TB_MZ_JSB,JSJLID,1,0,0,7.0,7.0,7.0,0.0,0.0
TB_MZ_JSB,KH,1,0,0,29.0,21.0,28.89,0.91,0.84
TB_MZ_JSB,KLX,1,0,0,2.0,2.0,2.0,0.0,0.0
TB_MZ_JSB,JZLSH,1,0,0,7.0,1.0,7.0,0.1,0.01
TB_MZ_JSB,JSFPH,1,0,0,13.0,1.0,10.3,1.86,3.44
TB_MZ_JSB,FYJSSJ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_MZ_JSB,FYJSZJE,2,0,0,17800.0,-2120.0,62.26,130.02,16904.8
TB_MZ_JSB,SSJE,2,0,0,17800.0,-2120.0,62.26,130.02,16904.8
TB_MZ_JZJL,JZLSH,1,0,0,7.0,7.0,7.0,0.0,0.0
TB_MZ_JZJL,HZXM,1,0,0,25.0,2.0,5.74,0.73,0.53
TB_MZ_JZJL,ZZYSGH,1,0,0,6.0,4.0,4.01,0.07,0.01
TB_MZ_JZJL,JZZDBM,1,0,0,15.0,1.0,6.13,2.22,4.93
TB_MZ_JZJL,JZZDMC,1,1,0,50.0,1.0,7.47,5.21,27.14
TB_MZ_JZJL,ZS,1,1,0,1.0,1.0,1.0,0.0,0.0
TB_MZ_JZJL,FBRQSJ,3,1,0,7.0,7.0,7.0,0.0,0.0
TB_ZY_SFMXB,JZLSH,1,0,0,6.0,6.0,6.0,0.0,0.0
TB_ZY_SFMXB,SFJSSJ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_ZY_SFMXB,MXXMBM,1,0,0,4.0,4.0,4.0,0.0,0.0
TB_ZY_SFMXB,MXXMMC,1,0,0,8.0,3.0,6.0,0.25,0.06
TB_ZY_SFMXB,MXXMDJ,2,0,0,56100.0,0.0,35.93,201.01,40405.21
TB_ZY_SFMXB,MXXMSL,2,0,0,2250.0,-2250.0,4.13,25.74,662.58
TB_ZY_SFMXB,MXXMYSJE,2,0,0,56100.0,-32832.0,50.46,260.45,67836.11
TB_ZY_SFMXB,MXXMSSJE,2,0,0,56100.0,-32832.0,50.46,260.45,67836.11
TB_ZY_CYDJB,YLJGDM,1,0,0,10.0,10.0,10.0,0.0,0.0
TB_ZY_CYDJB,ZYH,1,0,0,6.0,6.0,6.0,0.0,0.0
TB_ZY_CYDJB,CYKSBM,1,0,0,3.0,2.0,2.21,0.41,0.17
TB_ZY_CYDJB,CYKSMC,1,0,0,15.0,4.0,7.67,2.86,8.16
TB_ZY_CYDJB,ZYYSGH,1,0,0,5.0,4.0,4.0,0.06,0.0
TB_ZY_CYDJB,ZYYSXM,1,0,0,6.0,4.0,5.61,0.79,0.62
TB_ZY_CYDJB,CYSJ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_ZY_CYDJB,CYZDMC,1,0,0,59.0,2.0,10.48,5.45,29.74
TB_ZY_RYDJB,YLJGDM,1,0,0,10.0,10.0,10.0,0.0,0.0
TB_ZY_RYDJB,ZYH,1,0,0,6.0,6.0,6.0,0.0,0.0
TB_ZY_RYDJB,XM,1,0,0,15.0,4.0,5.83,0.58,0.34
TB_ZY_RYDJB,XB,1,0,0,1.0,1.0,1.0,0.0,0.0
TB_ZY_RYDJB,MZYSGH,1,0,0,5.0,4.0,4.0,0.01,0.0
TB_ZY_RYDJB,MZYSXM,1,0,0,6.0,4.0,5.64,0.77,0.59
TB_ZY_RYDJB,ZYYSBH,1,0,0,5.0,4.0,4.0,0.06,0.0
TB_ZY_RYDJB,ZYYSXM,1,0,0,6.0,4.0,5.61,0.79,0.62
TB_ZY_RYDJB,RYKSBM,1,0,0,3.0,2.0,2.19,0.39,0.15
TB_ZY_RYDJB,RYKSMC,1,0,0,15.0,4.0,7.79,2.97,8.8
TB_ZY_RYDJB,RYZDBM,1,1,0,5.0,2.0,4.41,0.51,0.26
TB_ZY_RYDJB,RYZDMC,1,1,0,59.0,2.0,10.48,5.45,29.73
TB_ZY_RYDJB,RYSJ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_ZY_ZYJSB,YLJGDM,1,0,0,10.0,10.0,10.0,0.0,0.0
TB_ZY_ZYJSB,ZYID,1,0,0,6.0,6.0,6.0,0.0,0.0
TB_ZY_ZYJSB,STFSJ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_ZY_ZYJSB,ZFY,2,0,0,182811.83,0.0,8895.33,10183.2,103697641.75
TB_ZY_ZYJSB,YBFWWZF,2,0,0,76364.1,-700.0,2694.4,4086.71,16701174.71
TB_ZY_ZYJSB,YBZFJE,2,0,0,160653.18,0.0,6153.34,7644.53,58438842.6
TB_ZY_ZYJZJL,YLJGDM,1,0,0,10.0,10.0,10.0,0.0,0.0
TB_ZY_ZYJZJL,CISID,1,0,0,6.0,6.0,6.0,0.0,0.0
TB_ZY_ZYJZJL,HZXM,1,0,0,15.0,4.0,5.83,0.58,0.34
TB_ZY_ZYJZJL,JZKSBM,1,0,0,3.0,2.0,2.19,0.39,0.15
TB_ZY_ZYJZJL,JZKSMC,1,0,0,15.0,4.0,7.79,2.97,8.84
TB_ZY_ZYJZJL,CYKSBM,1,0,0,3.0,2.0,2.21,0.41,0.17
TB_ZY_ZYJZJL,CYKSMC,1,0,0,15.0,4.0,7.67,2.86,8.21
TB_ZY_ZYJZJL,RYSJ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_ZY_ZYJZJL,CYSJ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_ZY_ZYYZMX,YLJGDM,1,0,0,10.0,10.0,10.0,0.0,0.0
TB_ZY_ZYYZMX,YZMXID,1,0,0,8.0,8.0,8.0,0.0,0.0
TB_ZY_ZYYZMX,JZLSH,1,0,0,6.0,6.0,6.0,0.0,0.0
TB_ZY_ZYYZMX,XM,1,0,0,15.0,4.0,5.83,0.58,0.34
TB_ZY_ZYYZMX,XB,1,0,0,1.0,1.0,1.0,0.0,0.0
TB_ZY_ZYYZMX,BQ,1,1,0,17.0,7.0,10.75,2.82,7.96
TB_ZY_ZYYZMX,XDKSBM,1,0,0,4.0,2.0,2.23,0.42,0.18
TB_ZY_ZYYZMX,XDKSMC,1,0,0,15.0,4.0,7.68,2.84,8.09
TB_ZY_ZYYZMX,XDRGH,1,0,0,5.0,4.0,4.04,0.19,0.03
TB_ZY_ZYYZMX,XDRXM,1,0,0,6.0,4.0,5.64,0.77,0.59
TB_ZY_ZYYZMX,YZXDSJ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_ZY_ZYYZMX,ZXRGH,1,1,0,5.0,4.0,4.0,0.03,0.0
TB_ZY_ZYYZMX,ZXRXM,1,1,0,6.0,4.0,5.45,0.89,0.8
TB_ZY_ZYYZMX,YZZXSJ,3,1,0,7.0,7.0,7.0,0.0,0.0
TB_ZY_ZYYZMX,YZZZSJ,3,1,0,7.0,7.0,7.0,0.0,0.0
TB_ZY_ZYYZMX,YZSM,1,1,0,,,,,
TB_ZY_ZYYZMX,YZLB,1,0,0,1.0,1.0,1.0,0.0,0.0
TB_ZY_ZYYZMX,YYPD,1,1,0,2.0,1.0,1.24,0.43,0.18
TB_ZY_ZYYZMX,JL,2,1,0,25000.0,-1.0,142.61,906.62,821961.66
TB_ZY_ZYYZMX,MCSL,2,1,0,2000.0,0.0,16.3,72.68,5282.01
TB_ZY_ZYYZMX,XMDJ,2,1,0,1929.96,0.0,28.22,87.4,7639.46
TB_ZY_SFMXB,JZLSH,1,0,0,6.0,6.0,6.0,0.0,0.0
TB_ZY_SFMXB,SFJSSJ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_ZY_SFMXB,KDKSBM,1,0,0,3.0,1.0,2.55,0.5,0.25
TB_ZY_SFMXB,KDKSMC,1,0,0,25.0,1.0,13.64,5.44,29.59
TB_ZY_SFMXB,KDYSBH,1,0,0,6.0,1.0,4.0,0.06,0.0
TB_ZY_SFMXB,KDYSXM,1,0,0,7.0,1.0,5.58,0.82,0.67
TB_ZY_SFMXB,SFXMLBBM,1,0,0,2.0,2.0,2.0,0.0,0.0
TB_ZY_SFMXB,MXXMBM,1,0,0,4.0,4.0,4.0,0.0,0.0
TB_ZY_SFMXB,MXXMMC,1,0,0,8.0,3.0,6.0,0.25,0.06
TB_ZY_SFMXB,MXXMDJ,2,0,0,56100.0,0.0,35.93,201.01,40405.21
TB_ZY_SFMXB,MXXMSL,2,0,0,2250.0,-2250.0,4.13,25.74,662.58
TB_ZY_SFMXB,MXXMYSJE,2,0,0,56100.0,-32832.0,50.46,260.45,67836.11
TB_ZY_SFMXB,MXXMSSJE,2,0,0,56100.0,-32832.0,50.46,260.45,67836.11
